Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
04/21/2020,422107,0.08,15231,0.01,8264,0.03,9374,0.03,6613,0.23,356099,0.38,753,0.05
04/22/2020,458781,0.08,16487,0.01,8674,0.03,9694,0.03,7496,0.26,398703,0.42,793,0.05
04/23/2020,453520,0.08,15786,0.01,8425,0.03,9527,0.03,6969,0.24,386938,0.41,780,0.05
04/24/2020,443956,0.08,14237,0.01,7821,0.03,9722,0.03,7040,0.24,386935,0.41,688,0.04
04/25/2020,295387,0.09,8832,0.01,2869,0.03,4988,0.03,4719,0.28,350300,0.38,449,0.09
04/26/2020,218787,0.09,5498,0.01,1903,0.02,3496,0.03,2506,0.13,231541,0.27,309,0.09
04/27/2020,462888,0.08,15283,0.01,8828,0.03,10243,0.04,6922,0.24,384124,0.41,812,0.05
04/28/2020,489247,0.09,16380,0.01,9167,0.03,10531,0.04,7542,0.26,436347,0.46,826,0.05
04/29/2020,477799,0.09,15406,0.01,9100,0.03,10165,0.04,7844,0.27,410502,0.44,790,0.05
04/30/2020,465869,0.08,14062,0.01,9335,0.03,9971,0.03,7253,0.25,405169,0.43,764,0.05
05/01/2020,494549,0.09,14893,0.01,6200,0.02,9206,0.03,8332,0.28,445621,0.46,763,0.04
05/02/2020,325865,0.1,8912,0.01,3959,0.03,5908,0.04,5493,0.32,401938,0.42,489,0.1
05/03/2020,258865,0.11,6404,0.01,3314,0.03,4839,0.05,3263,0.19,353314,0.41,334,0.09
05/04/2020,511866,0.09,16315,0.01,11158,0.03,10765,0.04,8287,0.28,447424,0.46,897,0.05
05/05/2020,522085,0.09,16377,0.01,13265,0.04,10604,0.04,8445,0.29,462086,0.48,894,0.05
05/06/2020,508824,0.09,15677,0.01,14489,0.05,10107,0.04,8832,0.3,444179,0.46,822,0.05
05/07/2020,535073,0.09,16130,0.01,16139,0.05,11248,0.04,8509,0.29,488836,0.51,930,0.05
05/08/2020,526054,0.09,14571,0.01,15714,0.05,11243,0.04,8656,0.29,483831,0.5,811,0.05
05/09/2020,316883,0.1,7594,0.01,7651,0.06,6018,0.04,5055,0.29,371426,0.39,489,0.1
05/10/2020,271947,0.11,6367,0.01,7990,0.08,5879,0.06,3962,0.23,415868,0.49,406,0.12
05/11/2020,520873,0.09,15176,0.01,18349,0.06,11435,0.04,7636,0.26,458042,0.48,829,0.05
05/12/2020,553372,0.1,15989,0.01,19018,0.06,11489,0.04,8271,0.28,488406,0.51,914,0.05
05/13/2020,565377,0.1,16170,0.01,19356,0.06,11931,0.04,9437,0.32,509243,0.53,956,0.05
05/14/2020,567392,0.1,15905,0.01,19310,0.06,12132,0.04,8855,0.3,520395,0.54,923,0.05
05/15/2020,587808,0.1,15481,0.01,20092,0.06,12937,0.05,9473,0.32,562991,0.58,976,0.06
05/16/2020,360844,0.11,8742,0.01,11075,0.09,8100,0.05,5947,0.34,477098,0.5,485,0.1
05/17/2020,287418,0.12,6504,0.01,8793,0.09,6168,0.06,3577,0.21,391606,0.46,337,0.1
05/18/2020,595469,0.1,17206,0.01,22113,0.07,13142,0.05,8969,0.3,505315,0.53,1036,0.06
05/19/2020,610884,0.11,17296,0.01,21599,0.07,12778,0.04,9290,0.32,524483,0.54,1067,0.06
05/20/2020,623749,0.11,17674,0.01,22224,0.07,12754,0.04,10224,0.35,542409,0.56,1044,0.06
05/21/2020,629298,0.11,17565,0.01,22585,0.07,13295,0.05,9731,0.33,585553,0.61,1069,0.06
05/22/2020,633883,0.11,16453,0.01,22830,0.07,14712,0.05,9782,0.33,626984,0.65,1046,0.06
05/23/2020,335830,0.1,7186,0.01,10983,0.09,7613,0.05,5550,0.32,394091,0.41,420,0.09
05/24/2020,320015,0.13,6642,0.01,11871,0.12,8977,0.09,4117,0.24,461171,0.54,361,0.1
