name,address,city,state,zip_code,latitude,longitude,category,description,event_site_url,image_url,is_free,time_start,time_end,attending_count,interested_count,is_canceled,is_official
34th Global Conference on Digital Marketing and Technology (GCDMT),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,The Global Conference on Digital Marketing and Technology (GCDMT) is an esteemed event hosted by the Global Conference Alliance Inc. Its purpose is to...,https://www.yelp.com/events/new-york-34th-global-conference-on-digital-marketing-and-technology-gcdmt?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/BpPIBkssD8_gVWy1g5Im6A/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
9th Global Conference on Accounting and Financial Management (GCAFM),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,The Global Conference Alliance Inc. extends a warm invitation to its prestigious Accounting and Financial Management Conference. This premier event is...,https://www.yelp.com/events/new-york-9th-global-conference-on-accounting-and-financial-management-gcafm?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/7fAg-p9TN_lhFDxjru3_kg/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
12th Global Conference on Supply Chain Management (GCSCM),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,"Global Conference Alliance Inc. is dedicated to hosting a prestigious, knowledge-driven platform for professionals and thought leaders worldwide in the...",https://www.yelp.com/events/new-york-12th-global-conference-on-supply-chain-management-gcscm?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/hCS7xOH_N3JCVmOHHkfYuA/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
7th Global Conference on African Business and Technology (GCABT),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,"The primary aim of the African Business and Technology Conference, organized by Global Conference Alliance Inc., is to establish a collaborative platform...",https://www.yelp.com/events/new-york-7th-global-conference-on-african-business-and-technology-gcabt?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/FKALzDDyZlkaX7pmasRdAA/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
4th Global Conference on Information Technology and Computer Science (GCITCS),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,The Global Conference on Information Technology and Computer Science (GCITCS) endeavors to create an atmosphere conducive to the exchange of insights and...,https://www.yelp.com/events/new-york-4th-global-conference-on-information-technology-and-computer-science-gcitcs?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/MLNrOYKQablKtv5FSDySbg/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
4th of July Family Friendly Fireworks Cruise,299 South St,New York,NY,10002,40.7098278392299,-73.9853025502194,kids-family,"Experience up-close views of the world-famous July 4th NYC fireworks show on our exclusive party boat. Aboard the Liberty Belle, enjoy cocktails at our...",https://www.yelp.com/events/new-york-4th-of-july-family-friendly-fireworks-cruise?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/PDxtGsIUoLSOfYvFqcUHoQ/o.jpg,False,2024-07-04T18:30:00-04:00,2024-07-04T22:30:00-04:00,1,0,False,False
Brooklyn Pride LGBTQIA+ 5K Run/Walk,Bartel-Pritchard Lot,Brooklyn,NY,11215,40.6609484,-73.9798989,charities,"June 8, 2024
10AM Start Rain or Shine
Prospect Park, NY

What better way to start off your Brooklyn Pride Saturday than with a morning 5K (3.1 mile)...",https://www.yelp.com/events/brooklyn-brooklyn-pride-lgbtqia-5k-run-walk-2?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/2iaQcbB9UAf1xmU2ld685A/o.jpg,False,2024-06-08T10:00:00-04:00,2024-06-08T12:00:00-04:00,1,0,False,False
Urban Athletics Brooklyn 5K  & Prospect Park Mile,95 Prospect Park W,Brooklyn,NY,11215,40.66693998707908,-73.97375699999999,sports-active-life,"june 9, 2024
rain or shine
prospect park, brooklyn

8:30am 1 mile start just north of pritchard square
9:30am 5k start at the peristyle

all participants in...",https://www.yelp.com/events/brooklyn-urban-athletics-brooklyn-5k-and-prospect-park-mile?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/N5L-UI3KqXuJ3-yTEOz-BA/o.jpg,False,2024-06-09T08:30:00-04:00,2024-06-09T12:00:00-04:00,1,0,False,False
Serenity NYC Yacht Fourth of July Cruise,78 South St,New York,NY,10038,40.7047376,-74.00341150000001,nightlife,Welcome the Fourth of July 2024 cruising alongside the New York City skyline from the blissful Serenity Yacht. This top-tier vessel has everything you need...,https://www.yelp.com/events/new-york-serenity-nyc-yacht-fourth-of-july-cruise?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/NwXo9sToEUe7biKKV_hcKw/o.jpg,False,2024-07-04T18:30:00-04:00,2024-07-04T22:30:00-04:00,1,0,False,False
4th of July NYC Fireworks Party Cruise,78 South St,New York,NY,10038,40.7047376,-74.00341150000001,nightlife,"America's most iconic Independence Day celebration is back for the biggest show yet!

Get on board the Infinity Yacht Cruise and dance the night away under...",https://www.yelp.com/events/new-york-4th-of-july-nyc-fireworks-party-cruise?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/aBSxF-zv4PoBL1EloFvPnQ/o.jpg,False,2024-07-04T18:30:00-04:00,2024-07-04T22:30:00-04:00,1,0,False,False
