temperature_2m (°C),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),wind_speed_10m (km/h),weather_description,datetime,year_month,day,week,hour
-17.0,0.0,0.0,0.64,3,8.3,Overcast,2022-01-01 00:00:00,2022-01,1,Saturday,0
-15.6,0.0,0.07,0.64,71,8.0,Light Snow,2022-01-01 01:00:00,2022-01,1,Saturday,1
-14.7,0.0,0.07,0.64,71,7.6,Light Snow,2022-01-01 02:00:00,2022-01,1,Saturday,2
-14.2,0.0,0.07,0.64,71,7.0,Light Snow,2022-01-01 03:00:00,2022-01,1,Saturday,3
-12.6,0.0,0.14,0.64,71,7.0,Light Snow,2022-01-01 04:00:00,2022-01,1,Saturday,4
-10.1,0.0,0.14,0.64,71,5.6,Light Snow,2022-01-01 05:00:00,2022-01,1,Saturday,5
-7.4,0.0,0.21,0.64,73,4.4,Moderate Snow,2022-01-01 06:00:00,2022-01,1,Saturday,6
-6.7,0.0,0.21,0.64,73,4.2,Moderate Snow,2022-01-01 07:00:00,2022-01,1,Saturday,7
-5.8,0.0,0.07,0.64,71,4.1,Light Snow,2022-01-01 08:00:00,2022-01,1,Saturday,8
-5.0,0.0,0.0,0.64,3,3.8,Overcast,2022-01-01 09:00:00,2022-01,1,Saturday,9
-6.4,0.0,0.07,0.65,71,5.2,Light Snow,2022-01-01 10:00:00,2022-01,1,Saturday,10
-8.9,0.0,0.0,0.65,3,7.3,Overcast,2022-01-01 11:00:00,2022-01,1,Saturday,11
-7.6,0.0,0.0,0.65,3,7.2,Overcast,2022-01-01 12:00:00,2022-01,1,Saturday,12
-11.0,0.0,0.0,0.65,3,5.8,Overcast,2022-01-01 13:00:00,2022-01,1,Saturday,13
-11.9,0.0,0.0,0.65,3,5.4,Overcast,2022-01-01 14:00:00,2022-01,1,Saturday,14
-11.8,0.0,0.0,0.65,3,5.2,Overcast,2022-01-01 15:00:00,2022-01,1,Saturday,15
-12.3,0.0,0.0,0.65,3,5.8,Overcast,2022-01-01 16:00:00,2022-01,1,Saturday,16
-11.5,0.0,0.0,0.65,3,5.6,Overcast,2022-01-01 17:00:00,2022-01,1,Saturday,17
-12.6,0.0,0.0,0.65,3,6.8,Overcast,2022-01-01 18:00:00,2022-01,1,Saturday,18
-13.0,0.0,0.07,0.65,71,6.0,Light Snow,2022-01-01 19:00:00,2022-01,1,Saturday,19
-12.6,0.0,0.0,0.65,3,4.7,Overcast,2022-01-01 20:00:00,2022-01,1,Saturday,20
-12.6,0.0,0.07,0.65,71,5.3,Light Snow,2022-01-01 21:00:00,2022-01,1,Saturday,21
-12.9,0.0,0.0,0.65,3,5.2,Overcast,2022-01-01 22:00:00,2022-01,1,Saturday,22
-13.2,0.0,0.0,0.65,3,4.0,Overcast,2022-01-01 23:00:00,2022-01,1,Saturday,23
-13.3,0.0,0.07,0.65,71,4.3,Light Snow,2022-01-02 00:00:00,2022-01,2,Sunday,0
-12.7,0.0,0.14,0.65,71,5.2,Light Snow,2022-01-02 01:00:00,2022-01,2,Sunday,1
-12.7,0.0,0.14,0.65,71,5.8,Light Snow,2022-01-02 02:00:00,2022-01,2,Sunday,2
-12.5,0.0,0.07,0.65,71,5.6,Light Snow,2022-01-02 03:00:00,2022-01,2,Sunday,3
-12.0,0.0,0.0,0.65,3,6.0,Overcast,2022-01-02 04:00:00,2022-01,2,Sunday,4
-8.8,0.0,0.0,0.65,3,5.4,Overcast,2022-01-02 05:00:00,2022-01,2,Sunday,5
-6.8,0.0,0.0,0.65,3,4.3,Overcast,2022-01-02 06:00:00,2022-01,2,Sunday,6
-5.6,0.0,0.0,0.65,3,3.8,Overcast,2022-01-02 07:00:00,2022-01,2,Sunday,7
-4.8,0.0,0.0,0.65,3,3.3,Overcast,2022-01-02 08:00:00,2022-01,2,Sunday,8
-3.5,0.0,0.0,0.65,2,2.8,Partly Cloudy,2022-01-02 09:00:00,2022-01,2,Sunday,9
-3.8,0.0,0.0,0.65,3,2.9,Overcast,2022-01-02 10:00:00,2022-01,2,Sunday,10
-4.6,0.0,0.0,0.65,2,2.9,Partly Cloudy,2022-01-02 11:00:00,2022-01,2,Sunday,11
-5.2,0.0,0.0,0.65,3,4.5,Overcast,2022-01-02 12:00:00,2022-01,2,Sunday,12
-10.6,0.0,0.0,0.65,3,8.9,Overcast,2022-01-02 13:00:00,2022-01,2,Sunday,13
-11.0,0.0,0.0,0.65,1,9.7,Mainly Clear,2022-01-02 14:00:00,2022-01,2,Sunday,14
-12.4,0.0,0.0,0.65,0,9.5,Fair,2022-01-02 15:00:00,2022-01,2,Sunday,15
-13.6,0.0,0.0,0.65,0,9.5,Fair,2022-01-02 16:00:00,2022-01,2,Sunday,16
-14.0,0.0,0.0,0.65,0,7.6,Fair,2022-01-02 17:00:00,2022-01,2,Sunday,17
-14.2,0.0,0.0,0.65,2,6.0,Partly Cloudy,2022-01-02 18:00:00,2022-01,2,Sunday,18
-14.9,0.0,0.0,0.65,2,5.2,Partly Cloudy,2022-01-02 19:00:00,2022-01,2,Sunday,19
-15.5,0.0,0.0,0.65,1,5.2,Mainly Clear,2022-01-02 20:00:00,2022-01,2,Sunday,20
-16.5,0.0,0.0,0.64,2,5.7,Partly Cloudy,2022-01-02 21:00:00,2022-01,2,Sunday,21
-16.3,0.0,0.0,0.64,2,6.8,Partly Cloudy,2022-01-02 22:00:00,2022-01,2,Sunday,22
-17.4,0.0,0.0,0.64,1,6.8,Mainly Clear,2022-01-02 23:00:00,2022-01,2,Sunday,23
-17.8,0.0,0.0,0.64,1,7.9,Mainly Clear,2022-01-03 00:00:00,2022-01,3,Monday,0
-17.3,0.0,0.0,0.64,3,8.0,Overcast,2022-01-03 01:00:00,2022-01,3,Monday,1
-16.5,0.0,0.0,0.64,2,8.1,Partly Cloudy,2022-01-03 02:00:00,2022-01,3,Monday,2
-15.6,0.0,0.0,0.64,2,8.0,Partly Cloudy,2022-01-03 03:00:00,2022-01,3,Monday,3
-12.8,0.0,0.0,0.64,3,7.6,Overcast,2022-01-03 04:00:00,2022-01,3,Monday,4
-9.0,0.0,0.0,0.64,3,6.3,Overcast,2022-01-03 05:00:00,2022-01,3,Monday,5
-6.1,0.0,0.0,0.64,3,5.7,Overcast,2022-01-03 06:00:00,2022-01,3,Monday,6
-4.0,0.0,0.0,0.64,3,4.6,Overcast,2022-01-03 07:00:00,2022-01,3,Monday,7
-4.2,0.0,0.0,0.64,3,6.1,Overcast,2022-01-03 08:00:00,2022-01,3,Monday,8
-4.9,0.0,0.0,0.64,3,7.7,Overcast,2022-01-03 09:00:00,2022-01,3,Monday,9
-6.0,0.0,0.0,0.64,3,8.5,Overcast,2022-01-03 10:00:00,2022-01,3,Monday,10
-7.9,0.0,0.0,0.64,3,9.2,Overcast,2022-01-03 11:00:00,2022-01,3,Monday,11
-7.4,0.0,0.0,0.64,3,10.4,Overcast,2022-01-03 12:00:00,2022-01,3,Monday,12
-7.9,0.0,0.07,0.64,71,6.3,Light Snow,2022-01-03 13:00:00,2022-01,3,Monday,13
-8.0,0.0,0.0,0.64,3,6.3,Overcast,2022-01-03 14:00:00,2022-01,3,Monday,14
-8.2,0.0,0.07,0.64,71,7.2,Light Snow,2022-01-03 15:00:00,2022-01,3,Monday,15
-8.3,0.0,0.07,0.64,71,6.6,Light Snow,2022-01-03 16:00:00,2022-01,3,Monday,16
-8.2,0.0,0.14,0.64,71,6.2,Light Snow,2022-01-03 17:00:00,2022-01,3,Monday,17
-8.2,0.0,0.14,0.64,71,6.1,Light Snow,2022-01-03 18:00:00,2022-01,3,Monday,18
-8.3,0.0,0.07,0.64,71,6.0,Light Snow,2022-01-03 19:00:00,2022-01,3,Monday,19
-8.3,0.0,0.07,0.64,71,5.4,Light Snow,2022-01-03 20:00:00,2022-01,3,Monday,20
-8.7,0.0,0.0,0.65,3,5.4,Overcast,2022-01-03 21:00:00,2022-01,3,Monday,21
-8.0,0.0,0.07,0.65,71,5.5,Light Snow,2022-01-03 22:00:00,2022-01,3,Monday,22
-9.5,0.0,0.07,0.65,71,6.6,Light Snow,2022-01-03 23:00:00,2022-01,3,Monday,23
-7.1,0.0,0.14,0.65,71,2.2,Light Snow,2022-01-04 00:00:00,2022-01,4,Tuesday,0
-6.8,0.0,0.07,0.66,71,2.8,Light Snow,2022-01-04 01:00:00,2022-01,4,Tuesday,1
-8.4,0.0,0.14,0.66,71,5.2,Light Snow,2022-01-04 02:00:00,2022-01,4,Tuesday,2
-8.7,0.0,0.14,0.66,71,5.6,Light Snow,2022-01-04 03:00:00,2022-01,4,Tuesday,3
-8.0,0.0,0.21,0.67,73,5.1,Moderate Snow,2022-01-04 04:00:00,2022-01,4,Tuesday,4
-6.1,0.0,0.28,0.67,73,3.3,Moderate Snow,2022-01-04 05:00:00,2022-01,4,Tuesday,5
-6.1,0.0,0.28,0.67,73,2.3,Moderate Snow,2022-01-04 06:00:00,2022-01,4,Tuesday,6
-5.5,0.0,0.21,0.68,73,2.2,Moderate Snow,2022-01-04 07:00:00,2022-01,4,Tuesday,7
-5.0,0.0,0.28,0.68,73,1.5,Moderate Snow,2022-01-04 08:00:00,2022-01,4,Tuesday,8
-5.6,0.0,0.42,0.68,73,2.2,Moderate Snow,2022-01-04 09:00:00,2022-01,4,Tuesday,9
-6.4,0.0,0.42,0.68,73,2.3,Moderate Snow,2022-01-04 10:00:00,2022-01,4,Tuesday,10
-7.0,0.0,0.42,0.68,73,3.9,Moderate Snow,2022-01-04 11:00:00,2022-01,4,Tuesday,11
-6.5,0.0,0.35,0.68,73,3.4,Moderate Snow,2022-01-04 12:00:00,2022-01,4,Tuesday,12
-8.3,0.0,0.07,0.68,71,5.0,Light Snow,2022-01-04 13:00:00,2022-01,4,Tuesday,13
-10.2,0.0,0.0,0.68,3,5.2,Overcast,2022-01-04 14:00:00,2022-01,4,Tuesday,14
-10.4,0.0,0.0,0.68,3,3.9,Overcast,2022-01-04 15:00:00,2022-01,4,Tuesday,15
-10.3,0.0,0.0,0.68,3,4.1,Overcast,2022-01-04 16:00:00,2022-01,4,Tuesday,16
-10.6,0.0,0.0,0.68,3,4.0,Overcast,2022-01-04 17:00:00,2022-01,4,Tuesday,17
-11.3,0.0,0.0,0.68,3,4.0,Overcast,2022-01-04 18:00:00,2022-01,4,Tuesday,18
-11.3,0.0,0.0,0.68,3,4.4,Overcast,2022-01-04 19:00:00,2022-01,4,Tuesday,19
-11.2,0.0,0.0,0.68,3,4.8,Overcast,2022-01-04 20:00:00,2022-01,4,Tuesday,20
-11.2,0.0,0.07,0.68,71,4.0,Light Snow,2022-01-04 21:00:00,2022-01,4,Tuesday,21
-10.9,0.0,0.07,0.68,71,3.7,Light Snow,2022-01-04 22:00:00,2022-01,4,Tuesday,22
-10.7,0.0,0.07,0.68,71,3.3,Light Snow,2022-01-04 23:00:00,2022-01,4,Tuesday,23
-10.4,0.0,0.07,0.68,71,4.6,Light Snow,2022-01-05 00:00:00,2022-01,5,Wednesday,0
-9.9,0.0,0.07,0.68,71,4.2,Light Snow,2022-01-05 01:00:00,2022-01,5,Wednesday,1
-9.8,0.0,0.0,0.68,3,4.3,Overcast,2022-01-05 02:00:00,2022-01,5,Wednesday,2
-10.3,0.0,0.07,0.68,71,4.3,Light Snow,2022-01-05 03:00:00,2022-01,5,Wednesday,3
-9.0,0.0,0.07,0.68,71,3.1,Light Snow,2022-01-05 04:00:00,2022-01,5,Wednesday,4
-7.4,0.0,0.07,0.69,71,5.4,Light Snow,2022-01-05 05:00:00,2022-01,5,Wednesday,5
-5.6,0.0,0.0,0.69,3,3.9,Overcast,2022-01-05 06:00:00,2022-01,5,Wednesday,6
-4.2,0.0,0.0,0.69,3,2.3,Overcast,2022-01-05 07:00:00,2022-01,5,Wednesday,7
-3.2,0.0,0.0,0.69,2,1.8,Partly Cloudy,2022-01-05 08:00:00,2022-01,5,Wednesday,8
-2.8,0.0,0.0,0.69,2,1.8,Partly Cloudy,2022-01-05 09:00:00,2022-01,5,Wednesday,9
-2.9,0.0,0.0,0.69,1,1.6,Mainly Clear,2022-01-05 10:00:00,2022-01,5,Wednesday,10
-3.8,0.0,0.0,0.69,0,2.5,Fair,2022-01-05 11:00:00,2022-01,5,Wednesday,11
-5.1,0.0,0.0,0.69,0,5.9,Fair,2022-01-05 12:00:00,2022-01,5,Wednesday,12
-11.1,0.0,0.0,0.69,0,7.6,Fair,2022-01-05 13:00:00,2022-01,5,Wednesday,13
-12.4,0.0,0.0,0.68,0,8.3,Fair,2022-01-05 14:00:00,2022-01,5,Wednesday,14
-13.1,0.0,0.0,0.68,0,6.9,Fair,2022-01-05 15:00:00,2022-01,5,Wednesday,15
-13.5,0.0,0.0,0.68,0,4.8,Fair,2022-01-05 16:00:00,2022-01,5,Wednesday,16
-14.3,0.0,0.0,0.68,0,4.0,Fair,2022-01-05 17:00:00,2022-01,5,Wednesday,17
-14.9,0.0,0.0,0.68,0,4.0,Fair,2022-01-05 18:00:00,2022-01,5,Wednesday,18
-15.1,0.0,0.0,0.68,0,4.0,Fair,2022-01-05 19:00:00,2022-01,5,Wednesday,19
-15.1,0.0,0.0,0.68,0,4.0,Fair,2022-01-05 20:00:00,2022-01,5,Wednesday,20
-15.2,0.0,0.0,0.68,2,4.0,Partly Cloudy,2022-01-05 21:00:00,2022-01,5,Wednesday,21
-15.0,0.0,0.0,0.68,1,4.1,Mainly Clear,2022-01-05 22:00:00,2022-01,5,Wednesday,22
-15.5,0.0,0.0,0.68,2,4.0,Partly Cloudy,2022-01-05 23:00:00,2022-01,5,Wednesday,23
-15.1,0.0,0.0,0.68,2,4.6,Partly Cloudy,2022-01-06 00:00:00,2022-01,6,Thursday,0
-15.4,0.0,0.0,0.68,3,4.6,Overcast,2022-01-06 01:00:00,2022-01,6,Thursday,1
-15.3,0.0,0.0,0.68,2,4.9,Partly Cloudy,2022-01-06 02:00:00,2022-01,6,Thursday,2
-15.7,0.0,0.0,0.68,2,4.6,Partly Cloudy,2022-01-06 03:00:00,2022-01,6,Thursday,3
-13.7,0.0,0.0,0.68,1,4.6,Mainly Clear,2022-01-06 04:00:00,2022-01,6,Thursday,4
-10.2,0.0,0.0,0.68,2,7.1,Partly Cloudy,2022-01-06 05:00:00,2022-01,6,Thursday,5
-4.0,0.0,0.0,0.68,2,4.4,Partly Cloudy,2022-01-06 06:00:00,2022-01,6,Thursday,6
-2.4,0.0,0.0,0.68,3,1.0,Overcast,2022-01-06 07:00:00,2022-01,6,Thursday,7
-3.7,0.0,0.0,0.68,3,4.1,Overcast,2022-01-06 08:00:00,2022-01,6,Thursday,8
-3.9,0.0,0.0,0.68,3,3.9,Overcast,2022-01-06 09:00:00,2022-01,6,Thursday,9
-3.6,0.0,0.0,0.68,3,3.6,Overcast,2022-01-06 10:00:00,2022-01,6,Thursday,10
-4.4,0.0,0.0,0.68,3,2.9,Overcast,2022-01-06 11:00:00,2022-01,6,Thursday,11
-5.7,0.0,0.0,0.68,3,2.1,Overcast,2022-01-06 12:00:00,2022-01,6,Thursday,12
-6.6,0.0,0.0,0.68,3,2.5,Overcast,2022-01-06 13:00:00,2022-01,6,Thursday,13
-7.3,0.0,0.0,0.68,3,2.5,Overcast,2022-01-06 14:00:00,2022-01,6,Thursday,14
-9.8,0.0,0.0,0.68,3,3.2,Overcast,2022-01-06 15:00:00,2022-01,6,Thursday,15
-12.4,0.0,0.0,0.68,2,4.0,Partly Cloudy,2022-01-06 16:00:00,2022-01,6,Thursday,16
-13.6,0.0,0.0,0.67,1,3.3,Mainly Clear,2022-01-06 17:00:00,2022-01,6,Thursday,17
-14.9,0.0,0.0,0.67,2,2.5,Partly Cloudy,2022-01-06 18:00:00,2022-01,6,Thursday,18
-16.0,0.0,0.0,0.67,2,2.9,Partly Cloudy,2022-01-06 19:00:00,2022-01,6,Thursday,19
-16.1,0.0,0.0,0.67,2,2.5,Partly Cloudy,2022-01-06 20:00:00,2022-01,6,Thursday,20
-16.1,0.0,0.0,0.67,2,3.3,Partly Cloudy,2022-01-06 21:00:00,2022-01,6,Thursday,21
-15.9,0.0,0.0,0.67,2,3.3,Partly Cloudy,2022-01-06 22:00:00,2022-01,6,Thursday,22
-16.7,0.0,0.0,0.67,2,2.9,Partly Cloudy,2022-01-06 23:00:00,2022-01,6,Thursday,23
-16.8,0.0,0.0,0.67,1,4.0,Mainly Clear,2022-01-07 00:00:00,2022-01,7,Friday,0
-16.3,0.0,0.0,0.67,2,2.2,Partly Cloudy,2022-01-07 01:00:00,2022-01,7,Friday,1
-16.6,0.0,0.0,0.67,2,2.2,Partly Cloudy,2022-01-07 02:00:00,2022-01,7,Friday,2
-16.5,0.0,0.0,0.67,2,1.5,Partly Cloudy,2022-01-07 03:00:00,2022-01,7,Friday,3
-14.1,0.0,0.0,0.67,2,2.3,Partly Cloudy,2022-01-07 04:00:00,2022-01,7,Friday,4
-8.7,0.0,0.0,0.67,2,2.9,Partly Cloudy,2022-01-07 05:00:00,2022-01,7,Friday,5
-6.3,0.0,0.0,0.67,1,0.7,Mainly Clear,2022-01-07 06:00:00,2022-01,7,Friday,6
-7.2,0.0,0.0,0.67,1,3.4,Mainly Clear,2022-01-07 07:00:00,2022-01,7,Friday,7
-7.4,0.0,0.0,0.67,1,4.2,Mainly Clear,2022-01-07 08:00:00,2022-01,7,Friday,8
-8.4,0.0,0.0,0.67,1,5.2,Mainly Clear,2022-01-07 09:00:00,2022-01,7,Friday,9
-7.9,0.0,0.0,0.67,2,4.6,Partly Cloudy,2022-01-07 10:00:00,2022-01,7,Friday,10
-7.3,0.0,0.0,0.67,2,3.3,Partly Cloudy,2022-01-07 11:00:00,2022-01,7,Friday,11
-8.4,0.0,0.0,0.67,3,2.4,Overcast,2022-01-07 12:00:00,2022-01,7,Friday,12
-9.3,0.0,0.0,0.67,3,4.3,Overcast,2022-01-07 13:00:00,2022-01,7,Friday,13
-14.0,0.0,0.0,0.67,1,6.9,Mainly Clear,2022-01-07 14:00:00,2022-01,7,Friday,14
-15.8,0.0,0.0,0.67,1,7.6,Mainly Clear,2022-01-07 15:00:00,2022-01,7,Friday,15
-16.1,0.0,0.0,0.67,1,5.8,Mainly Clear,2022-01-07 16:00:00,2022-01,7,Friday,16
-16.0,0.0,0.0,0.67,1,4.7,Mainly Clear,2022-01-07 17:00:00,2022-01,7,Friday,17
-17.1,0.0,0.0,0.67,1,5.1,Mainly Clear,2022-01-07 18:00:00,2022-01,7,Friday,18
-18.0,0.0,0.0,0.67,0,6.2,Fair,2022-01-07 19:00:00,2022-01,7,Friday,19
-19.0,0.0,0.0,0.67,0,6.5,Fair,2022-01-07 20:00:00,2022-01,7,Friday,20
-19.4,0.0,0.0,0.67,0,7.2,Fair,2022-01-07 21:00:00,2022-01,7,Friday,21
-19.3,0.0,0.0,0.67,0,7.2,Fair,2022-01-07 22:00:00,2022-01,7,Friday,22
-18.7,0.0,0.0,0.67,1,7.6,Mainly Clear,2022-01-07 23:00:00,2022-01,7,Friday,23
-17.6,0.0,0.0,0.67,1,7.2,Mainly Clear,2022-01-08 00:00:00,2022-01,8,Saturday,0
-16.9,0.0,0.0,0.67,1,7.2,Mainly Clear,2022-01-08 01:00:00,2022-01,8,Saturday,1
-16.7,0.0,0.0,0.67,0,7.6,Fair,2022-01-08 02:00:00,2022-01,8,Saturday,2
-16.2,0.0,0.0,0.67,1,8.4,Mainly Clear,2022-01-08 03:00:00,2022-01,8,Saturday,3
-14.3,0.0,0.0,0.67,1,8.4,Mainly Clear,2022-01-08 04:00:00,2022-01,8,Saturday,4
-11.4,0.0,0.0,0.67,0,6.9,Fair,2022-01-08 05:00:00,2022-01,8,Saturday,5
-8.6,0.0,0.0,0.67,0,5.4,Fair,2022-01-08 06:00:00,2022-01,8,Saturday,6
-7.1,0.0,0.0,0.67,0,5.1,Fair,2022-01-08 07:00:00,2022-01,8,Saturday,7
-6.9,0.0,0.0,0.67,0,6.1,Fair,2022-01-08 08:00:00,2022-01,8,Saturday,8
-7.7,0.0,0.0,0.66,0,7.6,Fair,2022-01-08 09:00:00,2022-01,8,Saturday,9
-7.1,0.0,0.0,0.66,0,7.6,Fair,2022-01-08 10:00:00,2022-01,8,Saturday,10
-10.8,0.0,0.0,0.66,0,9.0,Fair,2022-01-08 11:00:00,2022-01,8,Saturday,11
-7.5,0.0,0.0,0.66,0,8.6,Fair,2022-01-08 12:00:00,2022-01,8,Saturday,12
-14.8,0.0,0.0,0.66,0,9.0,Fair,2022-01-08 13:00:00,2022-01,8,Saturday,13
-15.2,0.0,0.0,0.66,1,7.3,Mainly Clear,2022-01-08 14:00:00,2022-01,8,Saturday,14
-15.6,0.0,0.0,0.66,1,5.9,Mainly Clear,2022-01-08 15:00:00,2022-01,8,Saturday,15
-16.0,0.0,0.0,0.66,1,4.0,Mainly Clear,2022-01-08 16:00:00,2022-01,8,Saturday,16
-16.6,0.0,0.0,0.66,1,3.7,Mainly Clear,2022-01-08 17:00:00,2022-01,8,Saturday,17
-16.9,0.0,0.0,0.66,1,4.0,Mainly Clear,2022-01-08 18:00:00,2022-01,8,Saturday,18
-17.5,0.0,0.0,0.66,0,3.0,Fair,2022-01-08 19:00:00,2022-01,8,Saturday,19
-18.0,0.0,0.0,0.66,0,2.6,Fair,2022-01-08 20:00:00,2022-01,8,Saturday,20
-18.1,0.0,0.0,0.66,0,3.4,Fair,2022-01-08 21:00:00,2022-01,8,Saturday,21
-18.3,0.0,0.0,0.66,0,2.6,Fair,2022-01-08 22:00:00,2022-01,8,Saturday,22
-18.4,0.0,0.0,0.66,0,3.1,Fair,2022-01-08 23:00:00,2022-01,8,Saturday,23
-16.8,0.0,0.0,0.66,0,5.2,Fair,2022-01-09 00:00:00,2022-01,9,Sunday,0
-18.5,0.0,0.0,0.66,0,6.2,Fair,2022-01-09 01:00:00,2022-01,9,Sunday,1
-18.6,0.0,0.0,0.66,0,6.2,Fair,2022-01-09 02:00:00,2022-01,9,Sunday,2
-18.3,0.0,0.0,0.66,0,4.9,Fair,2022-01-09 03:00:00,2022-01,9,Sunday,3
-16.4,0.0,0.0,0.66,0,3.5,Fair,2022-01-09 04:00:00,2022-01,9,Sunday,4
-13.2,0.0,0.0,0.66,0,6.6,Fair,2022-01-09 05:00:00,2022-01,9,Sunday,5
-6.3,0.0,0.0,0.66,0,3.8,Fair,2022-01-09 06:00:00,2022-01,9,Sunday,6
-5.3,0.0,0.0,0.66,0,3.0,Fair,2022-01-09 07:00:00,2022-01,9,Sunday,7
-6.7,0.0,0.0,0.66,0,4.0,Fair,2022-01-09 08:00:00,2022-01,9,Sunday,8
-5.4,0.0,0.0,0.66,0,3.3,Fair,2022-01-09 09:00:00,2022-01,9,Sunday,9
-5.9,0.0,0.0,0.66,0,3.0,Fair,2022-01-09 10:00:00,2022-01,9,Sunday,10
-6.6,0.0,0.0,0.66,0,1.3,Fair,2022-01-09 11:00:00,2022-01,9,Sunday,11
-8.5,0.0,0.0,0.66,0,3.6,Fair,2022-01-09 12:00:00,2022-01,9,Sunday,12
-12.7,0.0,0.0,0.66,0,5.1,Fair,2022-01-09 13:00:00,2022-01,9,Sunday,13
-17.4,0.0,0.0,0.66,0,6.4,Fair,2022-01-09 14:00:00,2022-01,9,Sunday,14
-17.9,0.0,0.0,0.66,0,5.6,Fair,2022-01-09 15:00:00,2022-01,9,Sunday,15
-18.3,0.0,0.0,0.66,0,4.5,Fair,2022-01-09 16:00:00,2022-01,9,Sunday,16
-19.1,0.0,0.0,0.66,0,4.4,Fair,2022-01-09 17:00:00,2022-01,9,Sunday,17
-20.2,0.0,0.0,0.66,0,4.8,Fair,2022-01-09 18:00:00,2022-01,9,Sunday,18
-21.2,0.0,0.0,0.66,0,5.2,Fair,2022-01-09 19:00:00,2022-01,9,Sunday,19
-21.6,0.0,0.0,0.66,0,5.9,Fair,2022-01-09 20:00:00,2022-01,9,Sunday,20
-21.7,0.0,0.0,0.66,0,6.3,Fair,2022-01-09 21:00:00,2022-01,9,Sunday,21
-21.7,0.0,0.0,0.66,0,6.6,Fair,2022-01-09 22:00:00,2022-01,9,Sunday,22
-21.5,0.0,0.0,0.66,0,6.6,Fair,2022-01-09 23:00:00,2022-01,9,Sunday,23
-21.6,0.0,0.0,0.66,0,6.6,Fair,2022-01-10 00:00:00,2022-01,10,Monday,0
-21.2,0.0,0.0,0.66,0,6.6,Fair,2022-01-10 01:00:00,2022-01,10,Monday,1
-21.0,0.0,0.0,0.66,0,6.6,Fair,2022-01-10 02:00:00,2022-01,10,Monday,2
-20.4,0.0,0.0,0.66,0,6.6,Fair,2022-01-10 03:00:00,2022-01,10,Monday,3
-17.6,0.0,0.0,0.66,1,6.6,Mainly Clear,2022-01-10 04:00:00,2022-01,10,Monday,4
-14.1,0.0,0.0,0.66,0,5.2,Fair,2022-01-10 05:00:00,2022-01,10,Monday,5
-11.3,0.0,0.0,0.66,0,8.1,Fair,2022-01-10 06:00:00,2022-01,10,Monday,6
-8.0,0.0,0.0,0.66,0,4.9,Fair,2022-01-10 07:00:00,2022-01,10,Monday,7
-5.2,0.0,0.0,0.65,0,2.6,Fair,2022-01-10 08:00:00,2022-01,10,Monday,8
-5.0,0.0,0.0,0.65,0,1.3,Fair,2022-01-10 09:00:00,2022-01,10,Monday,9
-5.6,0.0,0.0,0.65,0,1.4,Fair,2022-01-10 10:00:00,2022-01,10,Monday,10
-6.5,0.0,0.0,0.65,0,1.8,Fair,2022-01-10 11:00:00,2022-01,10,Monday,11
-8.0,0.0,0.0,0.65,0,3.1,Fair,2022-01-10 12:00:00,2022-01,10,Monday,12
-9.6,0.0,0.0,0.65,0,3.3,Fair,2022-01-10 13:00:00,2022-01,10,Monday,13
-15.0,0.0,0.0,0.65,1,5.6,Mainly Clear,2022-01-10 14:00:00,2022-01,10,Monday,14
-17.4,0.0,0.0,0.65,0,5.9,Fair,2022-01-10 15:00:00,2022-01,10,Monday,15
-18.7,0.0,0.0,0.65,1,6.4,Mainly Clear,2022-01-10 16:00:00,2022-01,10,Monday,16
-18.9,0.0,0.0,0.65,2,6.0,Partly Cloudy,2022-01-10 17:00:00,2022-01,10,Monday,17
-19.0,0.0,0.0,0.65,3,5.2,Overcast,2022-01-10 18:00:00,2022-01,10,Monday,18
-19.2,0.0,0.0,0.65,1,5.4,Mainly Clear,2022-01-10 19:00:00,2022-01,10,Monday,19
-19.3,0.0,0.0,0.65,1,5.4,Mainly Clear,2022-01-10 20:00:00,2022-01,10,Monday,20
-19.0,0.0,0.0,0.65,2,5.5,Partly Cloudy,2022-01-10 21:00:00,2022-01,10,Monday,21
-18.6,0.0,0.0,0.65,3,5.5,Overcast,2022-01-10 22:00:00,2022-01,10,Monday,22
-18.3,0.0,0.0,0.65,2,4.8,Partly Cloudy,2022-01-10 23:00:00,2022-01,10,Monday,23
-18.4,0.0,0.0,0.65,2,8.7,Partly Cloudy,2022-01-11 00:00:00,2022-01,11,Tuesday,0
-17.8,0.0,0.0,0.65,2,5.2,Partly Cloudy,2022-01-11 01:00:00,2022-01,11,Tuesday,1
-18.3,0.0,0.0,0.65,2,5.2,Partly Cloudy,2022-01-11 02:00:00,2022-01,11,Tuesday,2
-17.0,0.0,0.0,0.65,2,5.5,Partly Cloudy,2022-01-11 03:00:00,2022-01,11,Tuesday,3
-15.0,0.0,0.0,0.65,2,5.5,Partly Cloudy,2022-01-11 04:00:00,2022-01,11,Tuesday,4
-12.4,0.0,0.0,0.65,0,6.8,Fair,2022-01-11 05:00:00,2022-01,11,Tuesday,5
-10.1,0.0,0.0,0.65,0,6.9,Fair,2022-01-11 06:00:00,2022-01,11,Tuesday,6
-8.5,0.0,0.0,0.65,0,5.7,Fair,2022-01-11 07:00:00,2022-01,11,Tuesday,7
